country,admin_name,city
Afghanistan,Qala i Naw,B?dgh?s
Afghanistan,Farah,Far?h
Afghanistan,Meymaneh,F?ry?b
Afghanistan,Ghazni,Ghazn?
Afghanistan,Chaghcharan,Gh?r
Afghanistan,Mehtar Lam,Laghm?n
Afghanistan,Baraki Barak,L?gar
Afghanistan,Zaranj,N?mr?z
Afghanistan,Sharan,Pakt?k?
Afghanistan,B?z?rak,Panjshir
Afghanistan,Charikar,Parw?n
Albania,Peshkopi,Dibër
Albania,Krujë,Durrës
Albania,Lushnjë,Fier
Albania,Gjirokastër,Gjirokastër
Albania,Përmet,Gjirokastër
Albania,Pogradec,Korçë
Algeria,Adrar,Adrar
Algeria,Aïn Temouchent,Aïn Temouchent
Algeria,Algiers,Alger
Algeria,Batna,Batna
Algeria,Béni Ounif,Béchar
Algeria,Béchar,Béchar
Algeria,Boumerdes,Boumerdes
Algeria,El Goléa,Ghardaïa
Algeria,Djanet,Illizi
Algeria,I-n-Amenas,Illizi
Algeria,M'sila,M’sila
Algeria,Naama,Naama
Algeria,Hassi Messaoud,Ouargla
Algeria,Touggourt,Ouargla
Algeria,Oum el Bouaghi,Oum el Bouaghi
Andorra,Ordino,Ordino
Angola,Benguela,Benguela
Angola,Calucinga,Bié
Angola,Huambo,Huambo
Angola,Quipungo,Huíla
Angola,Luiana,Kuando Kubango
Angola,Ndalatando,Kwanza Norte
Angola,Dondo,Kwanza Norte
Angola,Quibala,Kwanza Sul
Angola,Malanje,Malanje
Angola,Cazombo,Moxico
Angola,Tômbua,Namibe
Argentina,Dolores,Buenos Aires
Argentina,Lobos,Buenos Aires
Argentina,Tandil,Buenos Aires
Argentina,Tres Arroyos,Buenos Aires
Argentina,Buenos Aires,"Buenos Aires, Ciudad Autónoma de"
Argentina,Tinogasta,Catamarca
Argentina,Charata,Chaco
Argentina,Trelew,Chubut
Argentina,Rawson,Chubut
Argentina,Paso Rio Mayo,Chubut
Argentina,Puerto Madryn,Chubut
Argentina,Sarmiento,Chubut
Argentina,Bell Ville,Córdoba
Argentina,Alta Gracia,Córdoba
Argentina,Paraná,Entre Ríos
Argentina,Concepción del Uruguay,Entre Ríos
Argentina,General Pico,La Pampa
Argentina,Malargüe,Mendoza
Argentina,La Paz,Mendoza
Argentina,Posadas,Misiones
Argentina,Eldorado,Misiones
Argentina,Zapala,Neuquén
Armenia,Ashtarak,Aragatsotn
Armenia,Artashat,Ararat
Armenia,Vanadzor,Lorri
Australia,Canberra,Australian Capital Territory
Australia,Forbes,New South Wales
Australia,Singleton,New South Wales
Australia,Newcastle,New South Wales
Australia,Bathurst,New South Wales
Australia,Central Coast,New South Wales
Australia,Yamba,New South Wales
Australia,Coffs Harbour,New South Wales
Australia,Orange,New South Wales
Australia,Wollongong,New South Wales
Australia,Nowra,New South Wales
Australia,Merimbula,New South Wales
Australia,Cowra,New South Wales
Australia,Broken Hill,New South Wales
Australia,Katherine,Northern Territory
Australia,Adelaide River,Northern Territory
Australia,McMinns Lagoon,Northern Territory
Austria,Klagenfurt,Kärnten
Austria,Sankt Pölten,Niederösterreich
Azerbaijan,X?rdalan,Ab?eron
Azerbaijan,A?da?,A?da?
Azerbaijan,Balak?n,Balak?n
Azerbaijan,Da?k?s?n,Da?k?s?n
Azerbaijan,Hac?qabul,Hac?qabul
Azerbaijan,K?lb?c?r,K?lb?c?r
Azerbaijan,Neftçala,Neftçala
Azerbaijan,Ordubad,Ordubad
Bahrain,Manama,Al ‘??imah
Bangladesh,Narayanganj,Dhaka
Bangladesh,Tangail,Dhaka
Bangladesh,Khulna,Khulna
Belarus,Homyel,Homyel’skaya Voblasts’
Belarus,Babruysk,Mahilyowskaya Voblasts’
Belarus,Maladzyechna,Minskaya Voblasts’
Belgium,Hasselt,Flanders
Benin,Porto-Novo,Ouémé
Bhutan,Daga,Dagana
Bhutan,Gasa,Gasa
Bhutan,Lhuentse,Lhuentse
Bhutan,Mongar,Mongar
Bolivia,Padilla,Chuquisaca
Bolivia,Puerto Villarroel,Cochabamba
Bolivia,Reyes,El Beni
Bolivia,Guayaramerín,El Beni
Bolivia,Coroico,La Paz
Bolivia,Viacha,La Paz
Bolivia,Charaña,La Paz
Bolivia,Achacachi,La Paz
Bolivia,Sorata,La Paz
Bolivia,Tupiza,Potosí
Bolivia,Villa Martin,Potosí
Bolivia,Uncia,Potosí
Botswana,Serowe,Central
Botswana,Kasane,Chobe
Botswana,Francistown,Francistown
Botswana,Jwaneng,Jwaneng
Botswana,Tshabong,Kgalagadi
Botswana,Molepolole,Kweneng
Botswana,Lobatse,Lobatse
Brazil,Sena Madureira,Acre
Brazil,Arapiraca,Alagoas
Brazil,Rio Largo,Alagoas
Brazil,Porto Santana,Amapá
Brazil,Natal,Amazonas
Brazil,Tefé,Amazonas
Brazil,Barcelos,Amazonas
Brazil,Tonantins,Amazonas
Brazil,Tucano,Bahia
Brazil,Santa Cruz Cabrália,Bahia
Brazil,Icó,Ceará
Brazil,Baturité,Ceará
Brazil,Camocim,Ceará
Brazil,Paracuru,Ceará
Brazil,Canindé,Ceará
Brazil,Vila Velha,Espírito Santo
Brazil,Cachoeiro de Itapemirim,Espírito Santo
Brazil,Jataí,Goiás
Brazil,Niquelândia,Goiás
Brazil,Chapadinha,Maranhão
Brazil,Grajau,Maranhão
Brazil,Colinas,Maranhão
Brazil,São Luís,Maranhão
Brazil,Itapecuru Mirim,Maranhão
Brazil,Imperatriz,Maranhão
Brazil,Cuiabá,Mato Grosso
Brazil,Rondonópolis,Mato Grosso
Brazil,Aquidauana,Mato Grosso do Sul
Brazil,Jardim,Mato Grosso do Sul
Brazil,Almenara,Minas Gerais
Brazil,Araçuaí,Minas Gerais
Brazil,Itaúna,Minas Gerais
Brazil,Divinópolis,Minas Gerais
Brazil,Lavras,Minas Gerais
Brazil,Paracatu,Minas Gerais
Brazil,Araxá,Minas Gerais
Brazil,Araguari,Minas Gerais
Brazil,Poços de Caldas,Minas Gerais
Brazil,Passos,Minas Gerais
Brazil,Frutal,Minas Gerais
Brazil,Januária,Minas Gerais
Brazil,Governador Valadares,Minas Gerais
Brazil,Guanhães,Minas Gerais
Brazil,Ipatinga,Minas Gerais
Brazil,Montes Claros,Minas Gerais
Brazil,Leopoldina,Minas Gerais
Brazil,Jacareacanga,Pará
Brazil,Cametá,Pará
Brazil,Paragominas,Pará
Brazil,Itaituba,Pará
Brazil,Xinguara,Pará
Brazil,Abaetetuba,Pará
Brazil,Cascavel,Paraná
Brazil,Campo Murao,Paraná
Brazil,Timbaúba,Pernambuco
Brazil,Garanhuns,Pernambuco
Brazil,Salgueiro,Pernambuco
Brazil,Piripiri,Piauí
Brazil,Teresina,Piauí
Brazil,Barras,Piauí
Bulgaria,Kyustendil,Kyustendil
Bulgaria,Plovdiv,Plovdiv
Burkina Faso,Solenzo,Boucle du Mouhoun
Burkina Faso,Tenkodogo,Centre-Est
Burkina Faso,Boulsa,Centre-Nord
Burkina Faso,Pô,Centre-Sud
Burkina Faso,Bogandé,Est
Burkina Faso,Orodara,Hauts-Bassins
Burma,Pathein,Ayeyawady
Burma,Bago,Bago
Burma,Hakha,Chin State
Burma,Pakokku,Magway
Burma,Myingyan,Mandalay
Burma,Mandalay,Mandalay
Burundi,Isale,Bujumbura Rural
Burundi,Kirundo,Kirundo
Cabo Verde,Porto dos Mosteiros,Mosteiros
Cabo Verde,Porto Novo,Porto Novo
Cambodia,Sisophon,Banteay Meanchey
Cambodia,Kompong Chhnang,Kampong Chhnang
Cambodia,Kampong Spoe,Kampong Speu
Cambodia,Senmonorom,Mondolkiri
Cambodia,Sâmraông,Oddar Meanchey
Cambodia,Prey Veng,Prey Veng
Cameroon,Mbalmayo,Centre
Cameroon,Bélabo,Est
Cameroon,Abong Mbang,Est
Cameroon,Kumbo,North-West
Cameroon,Bafoussam,Ouest
Canada,Brooks,Alberta
Canada,Camrose,Alberta
Canada,Calgary,Alberta
Canada,Peace River,Alberta
Canada,Medicine Hat,Alberta
Canada,Jasper,Alberta
Canada,Athabasca,Alberta
Canada,Banff,Alberta
Canada,Meander River,Alberta
Canada,Dawson Creek,British Columbia
Canada,Nelson,British Columbia
Canada,Kelowna,British Columbia
Canada,Courtenay,British Columbia
Canada,Lillooet,British Columbia
Canada,Chilliwack,British Columbia
Canada,Burns Lake,British Columbia
Canada,Tofino,British Columbia
Canada,Berens River,Manitoba
Canada,Steinbach,Manitoba
Canada,Dauphin,Manitoba
Canada,Flin Flon,Manitoba
Canada,Brandon,Manitoba
Canada,Lynn Lake,Manitoba
Canada,Winnipeg,Manitoba
Canada,Forteau,Newfoundland and Labrador
Canada,Channel-Port aux Basques,Newfoundland and Labrador
Canada,St. Anthony,Newfoundland and Labrador
Canada,Happy Valley - Goose Bay,Newfoundland and Labrador
Canada,Lutselke,Northwest Territories
Canada,Doline,Northwest Territories
Canada,Windsor,Nova Scotia
Canada,Digby,Nova Scotia
Canada,Iqaluit,Nunavut
Canada,Kugluktuk,Nunavut
Canada,Baker Lake,Nunavut
Canada,Naujaat,Nunavut
Canada,Taloyoak,Nunavut
Canada,Ennadai,Nunavut
Canada,Hall Beach,Nunavut
Canada,Cobalt,Ontario
Canada,Fort Severn,Ontario
Canada,Sudbury,Ontario
Canada,London,Ontario
Canada,Ottawa,Ontario
Canada,Nipigon,Ontario
Canada,Geraldton,Ontario
Canada,New Liskeard,Ontario
Canada,Hamilton,Ontario
Canada,Orangeville,Ontario
Canada,Wawa,Ontario
Central African Republic,Bria,Haute-Kotto
Central African Republic,Mbaïki,Lobaye
Central African Republic,Bouar,Nana-Mambéré
Central African Republic,Bambari,Ouaka
Chad,Koumra,Mandoul
Chile,Chuquicamata,Antofagasta
Chile,Calama,Antofagasta
Chile,Nueva Imperial,Araucanía
Chile,Angol,Araucanía
Chile,Arica,Arica y Parinacota
Chile,Diego de Almagro,Atacama
Chile,Chanaral,Atacama
Chile,Huasco,Atacama
Chile,Copiapó,Atacama
Chile,Puerto Aisén,Aysén
Chile,Puerto Williams,Magallanes y de la Antártica Chilena
Chile,Talca,Maule
China,Fuyang,Anhui
China,Jieshou,Anhui
China,Fengjie,Chongqing
China,Wanzhou,Chongqing
China,Sanming,Fujian
China,Changting,Fujian
China,Fuan,Fujian
China,Minxian,Gansu
China,Longxi,Gansu
China,Tianshui,Gansu
China,Zhangye,Gansu
China,Meizhou,Guangdong
China,Foshan,Guangdong
China,Dongguan,Guangdong
China,Qingyuan,Guangdong
China,Guangzhou,Guangdong
China,Guilin,Guangxi
China,Guiyang,Guizhou
China,Qinhuangdao,Hebei
China,Hengshui,Hebei
China,Dingzhou,Hebei
China,Huanghua,Hebei
China,Xiangtai,Hebei
China,Mishan,Heilongjiang
China,Keshan,Heilongjiang
China,Hulin,Heilongjiang
China,Boli,Heilongjiang
China,Yichun,Heilongjiang
China,Zhaodong,Heilongjiang
China,Ningan,Heilongjiang
China,Linkou,Heilongjiang
China,Angangxi,Heilongjiang
China,Tieli,Heilongjiang
China,Beian,Heilongjiang
China,Hulan Ergi,Heilongjiang
China,Qiqihar,Heilongjiang
China,Qitaihe,Heilongjiang
China,Xinyang,Henan
China,Zhengzhou,Henan
China,Nanyang,Henan
China,Kaifeng,Henan
China,Yichang,Hubei
China,Shiyan,Hubei
China,Jingmen,Hubei
China,Shaoyang,Hunan
China,Zixing,Hunan
China,Baotou,Inner Mongolia
China,Xilinhot,Inner Mongolia
