id,sectors,sub_sectors
1,Automotive ,Auto & Truck
2,Manufacturing,Chemical (Basic)
3,Utility,Utility (Water)
4,Financial Services ,Brokerage & Investment Banking
5,Financial Services ,Bank (Money Center)
6,Electronics ,Electronics (Consumer & Office)
7,Retail,Retail (Building Supply)
8,Manufacturing,Shipbuilding & Marine
9,Manufacturing,Metals & Mining
10,Retail,Retail (Online)
11,Aerospace,Aerospace/Defense
12,Manufacturing,Machinery
13,IT,Software (Entertainment)
14,Education,Knowledge Mangement
15,Retail,Apparel
16,Manufacturing,Building Materials
17,Realestate&Construction,Homebuilding
18,Media & Broadcasting,Cable TV
19,Aerospace,Aerospace
20,Agriculture,Agriculture
21,Emerging Technology,Analytics
22,Website & Applications,Android
23,Website & Applications,Apps
24,Non-classifiable Establishments,Art
25,Emerging Technology,Artificial Intelligence
26,Non-classifiable Establishments,Association
27,Automotive ,Automotive
28,Non-classifiable Establishments,B2B
29,Financial Services ,Banking
30,Consumer,Beauty
31,Emerging Technology,Big Data
32,Pharma & Healthcare,Biotechnology
33,Emerging Technology,Blockchain
34,Social Media,Blogging Platforms
35,Business Services ,Brand Marketing
36,Business Services ,Business Development
37,Business Services ,Business Intelligence
38,Website & Applications,Cloud Computing
39,Non-classifiable Establishments,Communities
40,IT,Computer
41,Realestate&Construction,Construction
42,Business Services ,Consulting
43,Electronics ,Consumer Electronics
44,Retail,Consumer
45,Social Media,Content
46,Business Services ,Customer Service
47,Emerging Technology,Cyber Security
48,Business Services ,Data Visualization
49,Business Services ,Database
50,Transaporation & Logistics,Delivery
51,Website & Applications,Developer APIs
52,Website & Applications,Developer Platform
53,Website & Applications,Developer Tools
54,Media & Broadcasting,Digital Entertainment
55,Business Services ,Digital Marketing
56,Media & Broadcasting,Digital Media
57,Emerging Technology,Drones
58,Transaporation & Logistics,E-Commerce
59,Education,EdTech
60,Education,Education
61,Education,E-Learning
62,Electronics ,Electronics
63,Business Services ,Employment
64,Energy,Energy
65,IT,Enterprise Software
66,Non-classifiable Establishments,Event Management
67,Non-classifiable Establishments,Events
68,Consumer,Fashion
69,Media & Broadcasting,Film
70,Financial Services ,Finance
71,Financial Services ,Financial Services
72,Financial Services ,FinTech
73,Pharma & Healthcare,Fitness
74,Food & Beverage,Food and Beverage
75,Food & Beverage,Food Delivery
76,Food & Beverage,Food Processing
77,Non-classifiable Establishments,Furniture
78,Non-classifiable Establishments,Gambling
79,Non-classifiable Establishments,Gamification
80,Non-classifiable Establishments,Generation Y
81,Pharma & Healthcare,Genetics
82,Non-classifiable Establishments,Geospatial
83,Business Services ,Gift Card
84,Consumer,Gift
85,Government,Government
86,Website & Applications,Graphic Design
87,Energy,GreenTech
88,IT,Hardware
89,Pharma & Healthcare,Health Care
90,Pharma & Healthcare,Health Diagnostics
91,Education,Higher Education
92,Non-classifiable Establishments,Home Decor
93,Non-classifiable Establishments,Home Services
94,Pharma & Healthcare,Hospital
95,"Travel,Hotel&Hospitality",Hospitality
96,"Travel,Hotel&Hospitality",Hotel
97,Manufacturing,Industrial Engineering
98,Manufacturing,Industrial
99,IT,Information Services
100,IT,Information Technology
101,IT,Infrastructure
102,Non-classifiable Establishments,Innovation Management
103,Financial Services ,Insurance
104,Emerging Technology,Internet of Things
105,Emerging Technology,Internet
106,Website & Applications,iOS
107,Non-classifiable Establishments,Janitorial Service
108,Consumer,Jewelry
109,Media & Broadcasting,Journalism
110,Education,Language Learning
111,Business Services ,Lead Generation
112,Business Services ,Legal
113,"Travel,Hotel&Hospitality",Leisure
114,Financial Services ,Lending
115,Pharma & Healthcare,Life Science
116,Consumer,Lifestyle
117,Non-classifiable Establishments,Local
118,Non-classifiable Establishments,Location Based Services
119,Transaporation & Logistics,Logistics
120,Emerging Technology,Machine Learning
121,Manufacturing,Manufacturing
122,Business Services ,Marketing
123,Website & Applications,Marketplace
124,Media & Broadcasting,Media and Entertainment
